,Company/Brand,Sector,Stage,Amount($),HeadQuarter,What it does,Year,Founded,Founders,Investor
1034,Box8,Foodtech,undisclosed,"$4,000,000",Mumbai,Enables to order food online,2020,2011,"Amit Raj, Anshul Gupta","IIFL Seed Ventures Fund, Menlo park"
1035,Capital Float,Fintech,undisclosed,"$15,000,000",Bangalore,Online platform that provides working capital finance to SMEs,2020,2013,"Gaurav Hinduja, Sashank Rishyasringa","Ribbit Capital, SAIF Partners, Sequoia Capital India, Amazon"
1036,ITILITE,Travel & SaaS,Series B,"$13,000,000",Bangalore,Platform for business travel,2020,,"Mayank Kukreja, Anish Khadiya","Greenoaks Capital, Vy Capital. Matrix Partners India"
1037,Morning Context,Digital Media,Seed Round,Undisclosed,,A subscription-only digital media publisher,2020,,,Angel investors
1038,Aavenir,SaaS,Seed Round,"$2,000,000",Ahmedabad,Source-to-Pay Software,2020,2019,Ashish Bhandari,Accel
1039,Savvy Co op,Healthcare,undisclosed,Undisclosed,,It connects patients with healthcare companies,2020,,Jen Horonjeff,Indie VC
1040,BLive,Tourism & EV,Pre series A,Undisclosed,,"It offers experiential, guided tours on smart electric bikes",2020,2018,"Samarth Kholkar, Sandeep Mukherjee",Mumbai Angels Network
1041,Yellow Messenger,AI,Series B,"$20,000,000",Bangalore,It offers conversational chatbots,2020,,Raghavendra Kumar Ravinutala,"Lightspeed Venture Partners, Lightspeed India Partners."
1042,Toch,Media Tech,undisclosed,"$400,000",,AI based Video object detection and Tagging platform,2020,,"Vinayak Shrivastav, Saket Dandotia, Alok Patil",Inflection Point Ventures
1043,Ewar,Gaming,undisclosed,"$200,000",Bangalore,E-sports and real-time gaming startup,2020,,"Parth Chadha, Rahul Singh","Jindal Steels, Jeet Banerjee"
1044,Setu,Fintech,Series A,"$14,259,000",,"Offers open APIs across four categories: bills, savings, credit, and payments.",2020,,"Sahil Kini, Nikhil Kumar","Lightspeed Venture, Falcon Edge, Bharat Inclusive Technologies Seed Fund."
1045,Wellthy Therapeutics,Healthtech,Pre series A,"$4,000,000",Bangalore,It offers a digital therapeutics service,2020,,Abhishek Shah,Saama Capital
1046,Power Gummies,Health,undisclosed,Undisclosed,Delhi,Offers health supplements related gummies,2020,2018,Divij Bajaj,Venture Catalysts
1047,Locale ai,Location Analytics,undisclosed,Undisclosed,Bangalore,It helps companies with moving assets  increase revenues and demand using real time location data and analytics,2020,2019,"Rishabh Jain, Aditi Sinha",Better Capital
1048,FarEye,Logistics,Series D,"$24,500,000",Delhi,"It enables businesses to execute, track, predict and oprimize the movements of goods",2020,,"Gaurav Srivastava, Gautam Kumar, Kushal Nahata","M12, Honeywell venture capital, Eight Roads Venture"
1049,Rebel Foods,Food tech,undisclosed,"$50,000,000",,It runs internet kitchen,2020,,"Jaydeep Barman, Kallol Bannerjee",Coatue Management
1050,BankBazaar,Fintech,Series D,"$3,800,000",Chennai,Online marketplace that gives customers instant customised offers on loans and credit cards,2020,2008,"Adhil Shetty, Arjun Shetty, Rati Shetty,","Amazon, Sequoia, Walden SKT Venture Fund"
1051,Porter,Logistics,Series D,"$18,370,000",Mumbai,Logistics and fleet management,2020,2014,"Pranav Goel, Uttam Digga",Lightstone Global Funds
1052,SugarBox,Tech,undisclosed,"$68,525,000",Mumbai,Hyperlocal data distribution platform,2020,,Rohit Paranjpe,Zee Entertainment Enterprises Limited
1053,Capital Float,Fintech,Series F,"$4,800,000",Bangalore,Online platform that provides working capital finance to SMEs,2020,2013,"Gaurav Hinduja, Sashank Rishyasringa","Amazon Inc`, Dinesh J Hinduja"
1054,Big Basket,E store,undisclosed,"$60,000,000",Bangalore,Online grocery store,2020,,"Abhinay Choudhari, Hari Menon, Vipul Parekh, VS Sudhakar",Alibaba Holdings
1055,Amica,Fintech,undisclosed,"$2,000,000",,Neobanking startup,2020,,Jitendra Gupta,"Hummingbird Ventures, Bedrock Capital"
1056,Vedantu,Edtech,Series C,"$12,500,000",Bangalore,Onine learning platform,2020,,"Saurabh Saxena, Pulkit Jain, Anand Prakash, Vamsi Krishna",Legend Capital
1057,Fingerlix,Food,undisclosed,"$1,834,000",,"It provides ready-to-cook products such as batters, mixes, curries, dals, parathas etc.,",2020,2016,"Shrikrishna Bharambe, Shripad Nadkarni, Varun Khanna, Abhijit Berde","Accel, Zephyr Peacock, Swiggy, RB Investments."
1058,Plop,Tech,Angel Round,Undisclosed,Mumbai,It Provides an interactive fiction entertainment platform to entertain & educate Gen Z & Millennials in a language they understand,2020,,"Vineet Shetty, Anushka Shetty","Better Capital, LetsVenture, Rohit Chanana, Jayant Kadambi, Sunil Kumar Singhvi"
1059,Zupee,Gaming,Series A,"$8,000,000",,It runs live quiz tournaments on its app.,2020,2018,"Malhi, Siddhant Saurabh",Matrix Partners
1060,DeHaat,Agritech,Series A,"$12,000,000",,Online marketplace for farming services and products,2020,2012,Shashank Kumar,Sequoia Capital India
1061,Lido Learning,Edtech,Series B,"$7,500,000",Mumbai,Online teaching service,2020,,Sahil Sheth,Bace Capital
1062,Aye Finance,Fintech,undisclosed,"$23,850,000",Gurugram,A finance lender to SMEs,2020,2014,"Vikram Jetley, Sanjay Sharma",Undisclosed
1063,Swiggy,Foodtech,Series A,"$43,000,000",Bangalore,Platform to order food online from restaurants and getting it delievered,2020,2014,"Nandan Reddy, Sriharsha Majety, Rahul Jaimini","Tencent, Ark Impact, Korea Investment Partners, Samsung Ventures, Mirae Asset Capital Markets"
1064,Akna Medical,Healthtech,undisclosed,"$7,000,000",,Provides supply solutions for surgical and pharmaceutical products.,2020,2018,"Saurabh Pandey, Mahadevan Narayanamoni",LGT Lightstone Aspada
1065,Zomato,Foodtech,undisclosed,"$5,000,000",Gurugram,Online food delivery and restaurant discovery platform,2020,,Deepinder Goyal,Pacific Horizon
1066,RaRa Delivery,Logistics,Seed Round,"$800,000",,Provides same day delivery service for ecommerce businesses,2020,,Karan Bhardwaj,"Der Shing Lim, 500 startups"
1067,JusPay,Fintech,Series B,"$21,600,000",Bangalore,Online payment solutions,2020,,Vimal Kumar,Vostok Emerging Finance
1068,Obviously AI,Data Science,undisclosed,Undisclosed,,It provides predictive insights to clients by leveraging their data,2020,2018,"Tapojit Debnath, Nirman Dave",Arka Venture Labs
1069,Fingpay,Fintech,Series A,"$3,500,000",Mumbai,Provides payment solutions,2020,2016,"Pratyush Halen, Anuraag Agrawal",IvyCap Ventures
1070,Recko,SaaS,Series A,"$6,000,000",Bangalore,The platform enables AI-powered reconciliation of digital transactions,2020,2017,"Prashant Border, Saurya Prakash Sinha",Vertex Ventures
1071,Furlenco,Ecommerce,undisclosed,"$10,000,000",Bangalore,Furniture rental startup,2020,2012,Ajith Mohan Karimpana,"Chowdry Associates, Lightbox"
1072,Mera Cashier,Fintech,undisclosed,"$150,000",Noida,App meant for small and micro businessmen to manage their transactions digitally,2020,2019,"Suneel Kumar, Gaurav Tomar, Sucharita Redd","Sukhbir Singh, India Accelerator, Boudhik Ventures, Shankar Nath, Shaurya Garg"
1073,Kitchens Centre,,Seed Round,"$500,000",Delhi,Offers solutions to cloud kitchens by providing commercial space and kitchen infrastructure to assisting with branding and other services,2020,2019,Lakshay Jain,AngelList India
1074,Camp K12,Edtech,Seed Round,"$4,000,000",Gurugram,It connects students with tutors online,2020,,"Anshul Bhagi, Sandeep Bhagi","Matrix Partners, SAIF Partners"
1075,MedGenome,Healthtech,Series D,"$55,000,000",Bangalore,Genetic diagnostic testing company,2020,2013,Sam Santhosh,LeapFrog Investments
1076,Ergos,Agritech,undisclosed,"$4,598,000",Bangalore,It enables farmers to digitise their foodgrain and also provide access to supply chain solutions,2020,,"Kishor Jha, Praveen Kumar",Aavishkar Capital
1077,Nykaa,Ecommerce,undisclosed,"$13,137,000",Mumbai,Deals in cosmetic and wellness products,2020,2012,Falguni Nayar,Steadview capital
1078,Samadhan,Insurance,Seed Round,Undisclosed,Delhi,They help find solutions to insurance related issues,2020,2018,"Deepak Bhuvneshwari Uniyal, Shilpa Arora, Shailesh Kumar, Sanjay Aggarwal",Venture Catalysts
1079,SaScan,Healthcare,undisclosed,Undisclosed,Bangalore,Cancer diagnostics startup,2020,,Subhash Narayanan,Unicorn India ventures
1080,Lido Learning,Edtech,undisclosed,"$3,000,000",Mumbai,Online teaching service,2020,,Sahil Sheth,"Pecus Capital, Madhur Deora"
1081,CureFit,Health and Fitness,Series D,"$115,000,000",Bangalore,"Integrated platform for food, fitness and meditation.",2020,2016,"Mukesh Bansal, Ankit Nagori",Temasek
1082,Nimesa,SaaS,undisclosed,Undisclosed,Bangalore,Cloud data managemnt solutions enterprise,2020,2018,"Tapesh Goyal, Rajesh Vaidhyanathan",Ideaspring capital
1083,Design X,IoT,Seed Round,"$200,000",Noida,Builds IoT based products,2020,,Preet Arjun Singh,ThinkNext LLC
1084,Driftly Electric,Automobile,undisclosed,Undisclosed,Bangalore,Electric vehicle startup,2020,,Sneha Roy,MG Motor India
1085,Imstrong,Fitness,Seed Round,"$400,000",Bangalore,It is an online and live video-streaming platform that allows trainers and fitness enthusiasts to connect and engage in interactive online classes.,2020,2019,"Dilip Kumar, Selvan Thamarai, Deepti Nair",Rainmatter
1086,Craftsvilla,Marketplace,undisclosed,"$3,900,000",Mumbai,Online marketplace for ethnic wear,2020,,Monica Gupta. Manoj Gupta,Supera Investments
1087,Rupifi,Fintech,Pre seed round,Undisclosed,Bangalore,Offers financial products for SMEs,2020,2020,"Anubhav Jain, Ankit Singh, Jawaid Iqbal","Ashneer Grover, Kunal Shah, Ramakant Sharma"
1088,SnackAmor,Food,Seed Round,Undisclosed,Mumbai,It offers various healthy snacks,2020,,Deepak Grover,Undisclosed
1089,Zealthy,Healthtech,Seed Round,Undisclosed,Bangalore,"It connects women to healthproviders for specialities like infertility, maternity etc.,",2020,2019,"Rishi Malhotra, Akhil Gupta","KYT Ventures, First Cheque, AngelList"
1090,CoinDCX,Fintech,Series A,"$3,000,000",,A cryptocurrency trading platform,2020,,Sumit Gupta,"Polychain Capital, Bain Capital Ventures, HDR Group"
1091,NuNu TV,Media,undisclosed,"$670,000",,Kids-focussed Youtube channel,2020,,,Risers Accelerators
1092,QTalk,Technology,Seed Round,"$1,600,000",Bangalore,Smart Phone Dialer,2020,,"Sagar Modi, Advaith Vishwanath","Accel India, Lightspeed Venture Partners"
1093,Shadez,Interior & decor,Seed Round,"$100,000",Mumbai,Paint Company,2020,2018,"Adarsh Anand, Amit Tiwari",Inflection Point Ventures
1094,Excess2Sell,Ecommerce,undisclosed,"$1,000,000",Mumbai,B2B Marketplace for Overstock & Surplus Inventory,2020,,Rajan Sharma,Gautham Madhavan
1095,Stanplus,Healthtech,Pre series A,"$1,500,000",Hyderabad,Ambulance service,2020,2016,Prabhdeep Singh,Pegasus FinInvest
1096,Pitstop,Automobile,Series A,"$2,500,000",Bangalore,Doorstep car service,2020,,Mihir Mohan mishra,TPG-backed Group Landmark
1097,Univariety,Edtech,undisclosed,"$1,100,000",Hyderabad,Online marketplace that provides career counselling and college guidance,2020,2015,Jaideep Gupta,Info Edge
1098,Peel Works,SaaS,"Series C, D","42.23,000",Mumbai,E-commerce for corner/retail stores.,2020,2010,"Sachin Chhabra, Nidhi Ramachandran",CESC Ventures
1099,CoreStack,Technology,Series A,"$8,500,000",Chennai,Enterprise cloud governance technology startup,2020,2016,"Ezhilarasan Natarajan, Sabapathy Arumugam, Krishnakumar Narayanan, Thiruvalluvar NB",Naya Ventures
1100,Vivriti Capital,Fintech,Series B,"$50,000,000",Chennai,Digital lending startup,2020,2017,"Gaurav Kumar, Vineet Sukumar",LGT Lightstone Aspada
1101,Agnikul,Spacetech,Pre series A,"$3,148,000",Chennai,"It designs, fabricates, tests and launch orbital class launch vehicles",2020,,Srinath Ravichandran,pi Ventures
1102,Fintso,Fintech,undisclosed,"$2,600,000",,Wealth management platform,2020,2020,"George Mitra, Rajan Pathak","Rajeev Juneja, Pratul Shroff, Dilip Khandelwal, Piyush Gupta"
1103,Khatabook,Fintech,undisclosed,Undisclosed,Bangalore,It helps SMEs to maintain their accounts and ledger online.,2020,,Ravish Naresh,Mahendra Singh Dhoni
1104,Smart Coin,Fintech,Series A,"$7,000,000",,Consumer lending startup,2020,2015,"Amit Chandel, Rohit Garg, Vinay Kumar, Jayant Upadhyay",LGT LightstoneAspada
1105,ZunRoof,Cleantech,Series A,"$3,000,000",Gurugram,"It specialises in solar rooftop design, installation, and management using technology",2020,2016,"Pranesh Chaudhary, Sushant Sachan",Godrej Investments
1106,Shop101,Social e-commerce,Series C,"$3,900,000",,Enables entrepreneurs to sell online,2020,2015,"Abhinav Jain, Aditya Gupta","Stellaris Venture Partners, Unilever Ventures, Kalaari Capital, Vy Capital"
1107,OM Bhakti,FMCG,Seed Round,Undisclosed,Bangalore,A puja cotton-wicks manufacturing startup,2020,,"Sridhar Joshi, Prashant Kulkarni",Venture Catalysts
1108,Lal10,B2B,undisclosed,"$1,100,000",Uttar Pradesh,It helps Indian artisans and SMEs reach out to global retailers,2020,2016,"Maneet Gohil, Sanchit Govil, Albin Jose",Sorenson Impact
1109,Anaxee Digital Runner,Tech,undisclosed,Undisclosed,Indore,A tech-enabled ID verification and data collection startup,2020,2016,"Govind Agrawal, Arti Agrawal",Orios Venture Partners
1110,CollegeKhabri,Edtech,undisclosed,Undisclosed,Bhopal,Platform is an end-to-end college and career counselling platform for students,2020,2019,Arshi Khan,Vishal Dixit
1111,Ola Electric,eMobility,undisclosed,"$1,000,000",Bangalore,Electric vehicle,2020,,"Ankit Jain, Anand Shah",Pawan Munjal Family Trust Fund
1112,Multi Living,Real Estate,undisclosed,"$6,000,000",Mumbai,"It curates apartments from the homeowners, performs the quality check and offers the homes with built-in services to the potential tenants",2020,,Pankaj Singh,Lodha Ventures
1113,FamPay,Fintech,Seed Round,"$4,700,000",Bangalore,"It allows parents to send money to their kids below the age of 18, which they can spend securely under parent supervision.",2020,,Kush Taneja,"Y Combinator, Venture Highway, Sequoia India, Global Founders Capital"
1114,UnboxRobotics Labs,Automation tech,Seed Round,"$500,000",Bangalore,Automated flexible parcel sorting solutions for logistics providers,2020,,Pramod Ghadge,"Arali Ventures, CIIE.CO"
1115,Karbon Card,Fintech,Seed Round,"$2,000,000",Bangalore,Specialisde corporate cards for startups,2020,,"Pei-fu Hsieh, Amit Jangir","Kunal Shah, Amrish Rau, Jitendra Gupta"
1116,Airmeet,Media & Networking,undisclosed,"$3,000,000",Bangalore,"A platform to host, discover, and attend fully remote events like conferences and professional meet-ups",2020,,"Lalit Mangal, Vinay Jaasti, Manoj Singh",Accel India
1117,Innerchef,Foodtech,undisclosed,"$1,000,000",Gurgaon,Cloud kitchen platform,2020,,Rajesh,Mistletoe
1118,Epigamia,FMCG,Series C,"25,58,000",Mumbai,Flavoured and greek yoghurt brand,2020,2015,Rohan Mirchandani,KA Enterprise
1119,StyleNook,Ecommerce,undisclosed,Undisclosed,Mumbai,Marketplace for fashionable apparel,2020,,Lathika Pai,"Lead Angels Network, Stanford Angels"
1120,Callido Learning,Edtech,undisclosed,Undisclosed,Mumbai,Provides a structured educational approach to critical thinking and problem solving skills,2020,,Sriram Subramanian,Education Catalyst Fund
1121,Soxytoes,Ecommerce,undisclosed,Undisclosed,Delhi,Online store to buy various types of socks including funky and colorful socks,2020,,"Vidushi Kajaria, Aayush Goenka",Angel network
1122,F5,E-market,Seed Round,Undisclosed,Delhi,Retail Aggregator,2020,2018,"Raghav Arora, Lalit Kumar Aggarwal",LetsVenture investors
1123,Paper Boat,Food & Beverages,undisclosed,"$4,049,500",Bangalore,Ecommerce platform for beverages and snacks,2020,2013,"Neeraj Kakkar, James Nutall, Suhas Misra, Neeraj Biyani","Advent Management, A91 Emerging Fund, Trifecta Venture"
1124,Strata,Proptech,Seed Round,"$1,500,000",Bangalore,Real estate investment platform,2020,2019,"Sudarshan Lodha, Priyanka Rathore","SAIF Partners, Mayfield India"
1125,Salesken,AI & Data science,Series A,"$8,000,000",Bangalore,Provides sales professionals with intelligence on various aspects of the sales pitch,2020,,"Sreeraman Vaidyanathan, Surga Thilakan",Sequoia India
1126,Arya,Agritech,Series B,"$6,000,000",Noida,Provides post-harvest services across the agricultural value chain,2020,,Prasanna Rao,LGT Lightstone Aspada
1127,Leap Finance,Fintech,undisclosed,"$5,500,000",Bangalore,Provides education loans to students based on the student’s future income,2020,,"Vaibhav Singh, Arnav Kumar",Sequoia India
1128,Sleepy Owl,Beverages,undisclosed,Undisclosed,Delhi,"It sells ready to drink cold brew coffees, brew boxes and packs.",2020,2016,"Ajai Thandi, Arman Sood, Ashwajeet Singh",Rukam Capital
1129,Tricog,Healthtech,Series B,"$10,500,000",Bangalore,Provides virtual cardiology services through its AI-powered healthcare platforms,2020,2015,"Charit Bhograj, Zainul Charbiwala, Udayan Dasgupta, Abhinav Gujjar","UTEC-The University of Tokyo Edge Capital, Aflac Ventures, LLC, Dream Incubator, TeamFund"
1130,GogoBus,Travel tech,undisclosed,Undisclosed,Delhi,Inter-City Mobility Startup,2020,,Amit Gupta,Ixigo
1131,Trell,Social e-commerce,Pre series A,"$4,000,000",Bangalore,Allows users to share their travel experiences,2020,2016,"Pulkit Agrawal, Prashant Sachan, Arun Lodhi, Bimal Kartheek Rebba, Nirav Sheth","Sequoia’s Surge, Fosun RZ"
1132,Spaciya Consultants,Real Estate,Pre series A,"$500,000",Noida,Real estate consultancy firms,2020,,Ajit Panda,Alok Garg
1133,Bounce,Automotive and Rentals,undisclosed,"$6,500,000",Bangalore,Offers a variety of bikes and scooters that can be rented on a subscription basis,2020,2014,"Vivekananda Hallekere, Anil Giri Raju, Arun Agni",InnoVen Capital
1134,Neeman,Ecommerce,Pre series A,"$1,000,000",,An eco-conscious footwear brand making comfortable shoes using Merino Wool,2020,2017,"Taran Chhabra, Amar Preet Singh",Anicut Angel Fund
1135,Chqbook,Fintech,Series A,"$5,000,000",Gurugram,"Marketplace for small business owners, offering them products around lending, credit cards etc",2020,2017,"Vipul Sharma, Rajat Kumar, Sachin Arora, Mohit Goel",Aavishkaar Capital
1136,SMEcorner,Fintech,Series B,"$30,000,000",Mumbai,Financial lending firm to SMEs,2020,2014,"Bhatia, Sneha Shah",Paragon Partners
1137,Oda Class,Edtech,Pre series A,Undisclosed,Bangalore,"It offers content and material via video, adopting a dual-teacher model with IIT and NIT alumni",2020,,"Li Yong, Shushant Srivastava",Yuanfudao
1138,Spinny,E-tail,Series B,"$43,700,000",Haryana,Used car retailing platform,2020,2015,"Niraj Singh, Mohit Gupta, Ramanshu Mahuar","Nandan Nilekani, Sanjeev Aggarwal"
1139,goStops,Accomodation,undisclosed,Undisclosed,Delhi,A premium chain of youth hostels catering to the millennials,2020,2012,"Pallavi Agarwal, Pankaj Parwanda",Atraxn Partners.
1140,Umeed Housing,Fintech,Series D,"$23,000,000",Haryana,Housing finance company,2020,,Ashutosh Sharma,Morgan Stanley Private Equity Asia
1141,Vogo,Automotive,Series C,"$20,000,000",Bangalore,A scooter-sharing platform allowing users to rent a two-wheeler from specific designated pick up points,2020,2016,"Anand Ayyadurai, Padmanabhan Balakrishnan, Sanchit Mittal",Lightstone Aspada
1142,Flick Stree,AI & Media,Series A,"$3,000,000",Mumbai,Artificial intelligence-based video publishing network,2020,,Saurabh Singh,Samsung Venture Investment
1143,Qure ai,Healthtech,undisclosed,"$16,000,000",Mumbai,Provides interpretations of radiology scans,2020,2016,"Prashant Warier, Pooja Rao",Sequoia India
1144,MinionLabs,Machine Learning,undisclosed,Undisclosed,Bangalore,It leverages a Machine Learning-based approach to generate a comprehensive report on predictive analytics,2020,,Gokul Shrinivas,Indian Angel Network
1145,Josh Talks,Media,Pre series A,"$1,500,000",Haryana,Community of young individuals providing a platform to showcase their stories,2020,2015,"Supriya Paul, Shobhit Banga",Media Development Investment Fund
1146,PhoneParLoan,Fintech,undisclosed,Undisclosed,Delhi,Provides easy loans,2020,2015,Ringaile Noq,Accelerator MOX
1147,RailYatri,Travel,undisclosed,"$13,800,000",Noida,A complete Indian railways app,2020,2011,"Manish Rathi, Kapil Raizada, Sachin Saxena","Nandan Nilekani, Samsung Venture Investment Corporation"
1148,AjnaLens,Deeptech,Pre series A,"$1,500,000",Thane,"It leverages technologies such as AR, VR & AI to offer hardware in areas such as education and defence",2020,2014,"Pankaj Raut, Abhishek Tomar, Abhijit Patil","Maharashtra Defence, Aerospace Venture Fund (MDAVF)"
1149,Pepper,Content Marktplace,Seed funding,"$306,900",Mumbai,End to end content creation platform,2020,2017,Anirudh Singla and Rishabh Shekhar,"Kunal Bahl, Rohit Bansal"
1150,Rupeek,Fintech,undisclosed,"$30,000,000",Bangalore,An asset backed online lending platform,2020,2015,"Amar Prabhu, Ashwin Soni, Sumit Maniyar","GGV Capital, Bertelsmann India Investments, Binny Bansal, Sequoia India, Accel Partners"
1151,iMerit,IT,Series B,"$20,000,000",Kolkata,Turns information into data that is usable for machine learning processes,2020,2012,Radha Basu,CDC Group Plc
1152,BharatPe,Fintech,Series C,"$75,000,000",Delhi,Digital payments platform,2020,2018,Ashneer Grover,Ribbit Capital
1153,Invideo,Visual Media,undisclosed,"$2,500,000",,Video production and editing platform,2020,,Sanket Shah,Sequoia Capital’s Surge
1154,AvalonMeta,Edtech,undisclosed,"$420,000",,It combines higher education and competitive gaming,2020,2017,"Varun Mayya, Shashank Udupa, Abhinav Arora",Peerplays
1155,Near Store,Ecommerce,Seed Round,"$300,000",Mumbai,Enables a shop to create an online presence,2020,,,Sauce.vc
1156,ElecTorq,Automobile,undisclosed,Undisclosed,Delhi,Electric vehicle startup,2020,,Anubhav Sharma,AdvantEdge
1157,Prayaan Capital,Fintech,Seed Round,"$1,200,000",Chennai,"NBFC that lends to micro, small, and medium-sized enterprises (MSMEs)",2020,,"Madhan Mohan , Akash Chelvam",Accion Venture Lab
1158,Sanfe,Hygiene,Pre series A,"$1,100,000",Delhi,Women health care and wellness product,2020,,"Archit Agarwal, Harry Sehrawat","SucSEED Venture Partners, BIRAC, Elixir Pharma, Titan Capital"
1159,Go Desi,Foodtech,Seed Round,"$627,300",Delhi,Provides traditional delicacies,2020,2018,Vinay Kothari,Rukam Capital
1160,Swiggy,Foodtech,Series A,"$113,000,000",Bangalore,Platform to order food online from restaurants and getting it delievered,2020,2014,"Nandan Reddy, Sriharsha Majety, Rahul Jaimini",Prosus N.V
1161,Whatfix,SaaS,Series C,"$32,000,000",Banglore,"Digital adoption platform that helps companies provide intuitive onboarding, training and support",2020,2014,"Khadim Batti, Vara Kumar",Sequoia Capital India
1162,Unacademy,Edtech,Series E,"$110,000,000",Bangalore,Platform that offers online education in India,2020,2010,"Gaurav Munjal, Roman Saini, Hemesh Singh","Facebook, General Atlantic, Sequoia India, Nexus Venture Partners, Steadview Capital, Blume Ventures"
1163,Zvesta,Proptech,undisclosed,"$5,500,000",Gurugram,An online platform where users can search and buy properties listed by developers and brokers,2020,2015,"Rajan Dang, Anushree Srivastava",Hindustan Media Ventures
1164,Dunzo,Logistics,undisclosed,"$11,000,000",Bangalore,India-based hyperlocal delivery startup,2020,2014,Kabeer Biswas,Alteria Capital
1165,Digit Insurance,Insurtech,undisclosed,"$340,000",Bangalore,General Insurance Company,2020,,Kamesh Goyal,"Virat Kohli, Anushka Sharma"
1166,Yolo,Transport,Seed funding,"$600,000",Gurugram,Intercity transportation,2020,2019,"Shailesh Gupta, Mukul Shah, Danish Chopra",Undisclosed
1167,SmartVizX,VR & SaaS,Pre series A,"$1,397,000",,It developed India’s first VR-based design communication and collaboration product Trezi,2020,2015,"Tithi Tewari, Gautam Tewari",Rockstud Capital
1168,MaxWholesale,Ecommerce,Series A,"$3,000,000",Delhi,B2B ecommerce platform for kirana stores,2020,2016,Samarth Agrawal,"IAN Fund-I,  Al Falaj Investment Company (AFI)"
1169,Carbon Clean,Cleantech,undisclosed,"$16,000,000",,Develops affordable carbon capture technology,2020,2009,"Aniruddha Sharma, Prateek Bumb","WAVE Equity Partners, Chevron Technology Ventures, Marubeni Corporation."
1170,Onsitego,Sales & Services,Series B,"$19,000,000",,It offers post-purchase services through a network of brand authorised service centres throughout the country,2020,,Mahipal,Zodius Growth Fund
1171,Genius Corner,Edtech,undisclosed,"$250,000",Noida,Framework to enable personalised learning using artificial intelligence (AI) and machine learning (ML).,2020,2014,"Vishal Khatter, Dheeraj Khatter, Dipak Varshney","Mahesh Mohta, Jyoti Arora, Nachu Subramanian, Srivats"
1172,PlanetSpark,Edtech,undisclosed,"$448,500",Gurugram,Provides neighbourhood learning zones where children learn and develop 'new-age' skills under one roof,2020,2016,"Maneesh Dhooper, Kunal Malik","Indian Angel Network, Lead Angels, Hyderabad Angels"
1173,CamCom,AI & Deep learning,undisclosed,Undisclosed,Bangalore,AI automation platform for enterprise quality control,2020,2017,"Ajith Nayar, Umesh, Mahesh Subramanian","Triton Investment Advisors,"
1174,Simsim,Social Commerce,Series B,"$8,000,000",Bangalore,It enables community opinion influencers to sell products to thousands of micro-communities in India,2020,,Amit Bagaria,"Accel Partners, Shunwei Capital, Good Capital"
1175,Shuttl,Transport,Series C,"$7,975,700",Delhi,App based bus aggregator serice,2020,2015,"Amit Singh, Deepanshu Malviya",SIG Global India Fund
1176,HooLiv,Housing & Rentals,undisclosed,Undisclosed,Delhi,Student Co-living startup,2020,,"Chinmoy Mishra, Gaurav Vij, and Abhishek Verma",Kolte-Patil Family Office
1177,ClassMonitor,Edtech,undisclosed,Undisclosed,Indore,The learning platform that blends curriculum-based activities for children,2020,,"Vijeet Pandey, Vikas Rishishwar",Ashwin Khorana
1178,Friyey,Co-working,undisclosed,Undisclosed,Pune,Co working space startup,2020,,Yogesh Thore,Tarun Bhalla
1179,Oga,Fitness,undisclosed,"$330,000",Bangalore,Provides interactive fitness experience to people across the world,2020,,Ashish Rawat,Inflection Point Ventures
1180,Big Basket,Estore,undisclosed,"$3,500,000",Bangalore,Online grocery store,2020,,"Abhinay Choudhari, Hari Menon, Vipul Parekh, VS Sudhakar",Trifecta Capital
1181,CYFIRMA,SaaS,Series A,Undisclosed,Bangalore,Offer cybersecurity services,2020,,Ritesh Kumar,Z3 Partners
1182,Innoviti,,undisclosed,"$5,000,000",Bangalore,Digital payments solutions company,2020,,Rajeev Agrawal,FMO
1183,Paytm money,Fintech,undisclosed,"$5,600,000",Bangalore,Wealth Management,2020,2010,Vijay Shekhar Sharma,One97 Communications
1184,Vedantu,Edtech,Series C,"$24,000,000",Bangalore,Onine learning platform,2020,,"Saurabh Saxena, Pulkit Jain, Anand Prakash, Vamsi Krishna",GGV Capital
1185,Yap,Fintech,undisclosed,"$1,402,000",Chennai,Banking and payment products-focused API platform,2020,,"Madhusudanan R, Muthukumar and Prabhu","Amrish Rau, Kunal Shah, Jitendra Gupta"
1186,Clover,Agritech,Series A,"$5,500,000",Bangalore,Provides agricultural solution to farmers working in the greenhouse production of vegetables and fruits,2020,,"Avinash BR, Gururaj Rao, Arvind Murali, Santhosh Narasipura","Omnivore, Accel Partners, Mayfield"
1187,Nova Credit,Fintech,Series B,"$50,000,000",,Cross-border consumer credit startup,2020,,Nicky Goulimis,"Kleiner Perkins, Canapi Ventures, Index Ventures, Nyca Partners, General Catalyst."
1188,CodingNinjas,Edtech,Series A,"$5,200,000",Delhi,Online learning platform,2020,2016,"Singla, Kannu Mittal, Dhawal Parate",Info Edge Ltd
1189,Furlenco,Ecommerce,Series C,"$2,200,000",Bangalore,Furniture rental startup,2020,2011,Ajith Mohan Karimpana,Chowdry Associates
1190,Brick&Bolt,,Pre series A,"$1,500,000",Bangalore,Operates in the residential construction space,2020,2018,"Jayesh Rajpurohit, Arpit Rajpurohit",Surge
1191,HempStreet,Healthtech,Pre series A,"$1,000,000",,Manufacturer of ayurvedic medicines based on cannabis,2020,2019,Abhishek Mohan,Pharmacon Holdings
